"NEW RISK MANAGEMENT",07/12/2016,"As Of 07/12/2016","Relationship Manager:","All","Broker:","All","External Party:","All","Client's Name","Client
 ID
","SC","ILG","OVL","MC","Securities
 Positions
","Options
 Positions
","Net
 Balances
","NAV
","Initial Margin
 Excess/
 Deficit
","Maint. Margin
 Excess/
 Deficit
","Broker","RM","EXP","Long","Short","Long","Short","","","  Minerva ","ABC123","","","","",15235784.63,0.00,0.00,0.00,76678.05,15312462.68,76678.05,76678.05,"KARAM TOUFIC","KARAM TOUFIC","","Total",15235784.63,0.00,0.00,0.00,76628.35,15312412.98,76628.35,76628.35,1
"NEW RISK MANAGEMENT",07/12/2016,"As Of 07/12/2016","Relationship Manager:","All","Broker:","All","External Party:","All","Client's Name","Client
 ID
","SC","ILG","OVL","MC","Securities
 Positions
","Options
 Positions
","Net
 Balances
","NAV
","Initial Margin
 Excess/
 Deficit
","Maint. Margin
 Excess/
 Deficit
","Broker","RM","EXP","Long","Short","Long","Short","","","* Shadi","DEF123","","","OVL","MC",0.00,0.00,0.00,0.00,(49.70),(49.70),(49.70),(49.70),"KARAM TOUFIC","KARAM TOUFIC","","Total",15235784.63,0.00,0.00,0.00,76628.35,15312412.98,76628.35,76628.35,1
